Time,PIR1,LDR,Comparison 1,Comparison 2,PIR1.
2025-04-28 00:00:00+00:00,-1,0.0,2,-2,14.911111111111111
2025-04-28 01:00:00+00:00,1,0.0,1,-3,51.49860724233983
2025-04-28 02:00:00+00:00,1,0.0,-2,-2,20.122222222222224
2025-04-28 03:00:00+00:00,1,0.0,-3,-5,34.63611111111111
2025-04-28 04:00:00+00:00,1,485.96666666666664,-2,-2,14.86111111111111
2025-04-28 05:00:00+00:00,-1,489.28333333333336,-6,2,8.180555555555555
2025-04-28 06:00:00+00:00,1,488.7055555555556,-4,4,0.9055555555555556
2025-04-28 07:00:00+00:00,-1,488.84722222222223,0,4,0.027777777777777776
2025-04-28 08:00:00+00:00,-1,488.1388888888889,2,2,2.2916666666666665
2025-04-28 09:00:00+00:00,-1,487.7103064066852,0,4,0.0
2025-04-28 10:00:00+00:00,1,486.11944444444447,0,4,9.447222222222223
2025-04-28 11:00:00+00:00,-1,484.85555555555555,2,2,0.022222222222222223
2025-04-28 12:00:00+00:00,-1,482.96666666666664,4,0,2.6805555555555554
2025-04-28 13:00:00+00:00,-1,481.9972222222222,6,2,0.022222222222222223
2025-04-28 14:00:00+00:00,-1,479.6638888888889,4,0,5.727777777777778
2025-04-28 15:00:00+00:00,1,477.72222222222223,4,-4,0.8305555555555556
2025-04-28 16:00:00+00:00,1,3.9832869080779942,2,-6,14.94150417827298
2025-04-28 17:00:00+00:00,1,0.0,0,-8,47.475
2025-04-28 18:00:00+00:00,1,0.0,-2,-6,31.177777777777777
2025-04-28 19:00:00+00:00,1,0.0,-4,-4,14.377777777777778
2025-04-28 20:00:00+00:00,1,0.0,-4,-4,43.44166666666667
2025-04-28 21:00:00+00:00,1,0.0,-6,-2,44.025
2025-04-28 22:00:00+00:00,1,0.0,-6,-2,25.694444444444443
2025-04-28 23:00:00+00:00,1,0.0,-2,-2,12.571030640668523
2025-04-29 00:00:00+00:00,-1,0.0,-2,-2,13.097222222222221
2025-04-29 01:00:00+00:00,1,0.0,-2,-2,29.675
2025-04-29 02:00:00+00:00,1,0.0,-4,0,35.09722222222222
2025-04-29 03:00:00+00:00,1,0.0,-6,-2,36.891666666666666
2025-04-29 04:00:00+00:00,1,480.8861111111111,-2,-2,11.344444444444445
2025-04-29 05:00:00+00:00,-1,482.60724233983285,-2,2,6.328690807799443
2025-04-29 06:00:00+00:00,-1,482.1222222222222,-2,2,0.0
2025-04-29 07:00:00+00:00,1,481.09166666666664,0,4,2.7666666666666666
2025-04-29 08:00:00+00:00,-1,480.24444444444447,-2,2,0.0
2025-04-29 09:00:00+00:00,1,478.94444444444446,0,0,3.375
2025-04-29 10:00:00+00:00,-1,477.94166666666666,0,4,0.0
2025-04-29 11:00:00+00:00,-1,476.76666666666665,0,4,0.3388888888888889
2025-04-29 12:00:00+00:00,-1,475.47353760445685,4,4,7.557103064066852
2025-04-29 13:00:00+00:00,-1,474.51666666666665,6,2,0.0
2025-04-29 14:00:00+00:00,-1,474.02222222222224,6,-2,0.8138888888888889
2025-04-29 15:00:00+00:00,1,472.69166666666666,4,-4,8.886111111111111
2025-04-29 16:00:00+00:00,1,3.941666666666667,2,-6,21.79722222222222
2025-04-29 17:00:00+00:00,1,0.0,0,-8,48.62777777777778
2025-04-29 18:00:00+00:00,1,0.0,-2,-6,45.74444444444445
2025-04-29 19:00:00+00:00,1,0.0,-4,-4,37.94707520891365
2025-04-29 20:00:00+00:00,1,0.0,-4,-4,41.419444444444444
2025-04-29 21:00:00+00:00,1,0.0,-4,-4,39.07222222222222
2025-04-29 22:00:00+00:00,1,0.0,-4,-4,0.125
2025-04-29 23:00:00+00:00,1,0.0,-4,-4,20.441666666666666
2025-04-30 00:00:00+00:00,1,0.0,-4,-4,7.161111111111111
2025-04-30 01:00:00+00:00,1,0.0,-4,-4,18.32033426183844
2025-04-30 02:00:00+00:00,1,0.0,-6,-2,44.65833333333333
2025-04-30 03:00:00+00:00,1,0.0,-8,0,17.4
2025-04-30 04:00:00+00:00,1,477.0416666666667,-4,0,18.830555555555556
2025-04-30 05:00:00+00:00,-1,480.23055555555555,-2,2,0.0
2025-04-30 06:00:00+00:00,-1,479.2416666666667,-2,2,4.777777777777778
2025-04-30 07:00:00+00:00,1,478.14444444444445,0,4,2.227777777777778
2025-04-30 08:00:00+00:00,-1,476.9275766016713,-2,2,0.008356545961002786
2025-04-30 09:00:00+00:00,1,476.2472222222222,0,0,2.661111111111111
2025-04-30 10:00:00+00:00,-1,475.31111111111113,0,4,0.41944444444444445
2025-04-30 11:00:00+00:00,-1,474.4222222222222,2,2,3.066666666666667
2025-04-30 12:00:00+00:00,-1,473.31111111111113,4,4,0.0
2025-04-30 13:00:00+00:00,-1,472.2611111111111,2,2,12.994444444444444
2025-04-30 14:00:00+00:00,1,472.1,6,-2,0.2361111111111111
2025-04-30 15:00:00+00:00,-1,470.7214484679666,4,-4,1.256267409470752
2025-04-30 16:00:00+00:00,1,5.222222222222222,0,-4,27.602777777777778
2025-04-30 17:00:00+00:00,1,0.0,-2,-2,44.91388888888889
2025-04-30 18:00:00+00:00,1,0.0,0,-4,39.28611111111111
2025-04-30 19:00:00+00:00,-1,0.0,0,-4,41.62777777777778
2025-04-30 20:00:00+00:00,1,0.0,-4,0,47.25555555555555
2025-04-30 21:00:00+00:00,1,0.0,-5,1,16.002777777777776
2025-04-30 22:00:00+00:00,1,0.0,-2,-2,11.696378830083566
2025-04-30 23:00:00+00:00,-1,0.0,-1,-1,20.355555555555554
